Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,11,0.2,NoInitialNodes,True,559.25
instances\TV\eil22_50.csv,11,0.2,DistancePriority,True,666.3
instances\TV\eil22_50.csv,11,0.2,DemandPriority,True,649.6
instances\TV\eil22_50.csv,12,0.2,NoInitialNodes,True,560.85
instances\TV\eil22_50.csv,12,0.2,DistancePriority,True,617.06
instances\TV\eil22_50.csv,12,0.2,DemandPriority,True,533.89
instances\TV\eil22_50.csv,13,0.2,NoInitialNodes,True,521.08
instances\TV\eil22_50.csv,13,0.2,DistancePriority,True,567.7
instances\TV\eil22_50.csv,13,0.2,DemandPriority,True,636.43
instances\TV\eil22_50.csv,14,0.2,NoInitialNodes,True,621.87
instances\TV\eil22_50.csv,14,0.2,DistancePriority,True,429.92
instances\TV\eil22_50.csv,14,0.2,DemandPriority,True,429.92
instances\TV\eil22_50.csv,15,0.2,NoInitialNodes,True,575.57
instances\TV\eil22_50.csv,15,0.2,DistancePriority,True,582.63
instances\TV\eil22_50.csv,15,0.2,DemandPriority,True,613.48
instances\TV\eil22_50.csv,16,0.2,NoInitialNodes,True,585.53
instances\TV\eil22_50.csv,16,0.2,DistancePriority,True,564.35
instances\TV\eil22_50.csv,16,0.2,DemandPriority,True,698.66
instances\TV\eil22_50.csv,17,0.2,NoInitialNodes,True,504.88
instances\TV\eil22_50.csv,17,0.2,DistancePriority,True,610.11
instances\TV\eil22_50.csv,17,0.2,DemandPriority,True,619.03
instances\TV\eil22_50.csv,18,0.2,NoInitialNodes,True,560.61
instances\TV\eil22_50.csv,18,0.2,DistancePriority,True,433.86
instances\TV\eil22_50.csv,18,0.2,DemandPriority,True,433.86
instances\TV\eil22_50.csv,19,0.2,NoInitialNodes,True,537.46
instances\TV\eil22_50.csv,19,0.2,DistancePriority,True,536.65
instances\TV\eil22_50.csv,19,0.2,DemandPriority,True,591.39
instances\TV\eil22_50.csv,0,0.3,NoInitialNodes,True,630.67
instances\TV\eil22_50.csv,0,0.3,DistancePriority,True,690.42
instances\TV\eil22_50.csv,0,0.3,DemandPriority,True,664.35
instances\TV\eil22_50.csv,1,0.3,NoInitialNodes,True,551.98
instances\TV\eil22_50.csv,1,0.3,DistancePriority,True,572.11
instances\TV\eil22_50.csv,1,0.3,DemandPriority,True,572.11
instances\TV\eil22_50.csv,2,0.3,NoInitialNodes,True,569.94
instances\TV\eil22_50.csv,2,0.3,DistancePriority,True,710.69
instances\TV\eil22_50.csv,2,0.3,DemandPriority,True,766.93
instances\TV\eil22_50.csv,3,0.3,NoInitialNodes,True,638.98
instances\TV\eil22_50.csv,3,0.3,DistancePriority,True,587.07
instances\TV\eil22_50.csv,3,0.3,DemandPriority,True,579.26
instances\TV\eil22_50.csv,4,0.3,NoInitialNodes,True,560.6
instances\TV\eil22_50.csv,4,0.3,DistancePriority,True,608.93
instances\TV\eil22_50.csv,4,0.3,DemandPriority,True,704.85
instances\TV\eil22_50.csv,5,0.3,NoInitialNodes,True,595.55
instances\TV\eil22_50.csv,5,0.3,DistancePriority,True,673.86
instances\TV\eil22_50.csv,5,0.3,DemandPriority,True,705.45
instances\TV\eil22_50.csv,6,0.3,NoInitialNodes,True,593.66
instances\TV\eil22_50.csv,6,0.3,DistancePriority,True,679.86
instances\TV\eil22_50.csv,6,0.3,DemandPriority,True,679.86
instances\TV\eil22_50.csv,7,0.3,NoInitialNodes,True,509.98
instances\TV\eil22_50.csv,7,0.3,DistancePriority,True,544.18
instances\TV\eil22_50.csv,7,0.3,DemandPriority,True,544.18
instances\TV\eil22_50.csv,8,0.3,NoInitialNodes,True,586.87
instances\TV\eil22_50.csv,8,0.3,DistancePriority,True,632.79
instances\TV\eil22_50.csv,8,0.3,DemandPriority,True,617.0
instances\TV\eil22_50.csv,9,0.3,NoInitialNodes,True,598.7
